Ticker,Excess_Ret_Mean,Excess_Ret_Std,HP_Mean,HP_Std,Prob_HP_Pos,|Q_Comm|_Mean,|Q_NonComm|_Mean,PT_Comm_Mean,PT_NonComm_Mean
CC,-0.1231846415376822,0.23513733865221273,0.13880510368049528,0.14774829802616168,0.7483870967741936,2.18602678926303,2.1089318274175577,0.03614963232537115,0.0660400721845411
CL,0.15509267773176655,0.4024179846481975,0.17581893096626133,0.036972649959221074,1.0,0.9835900553385328,1.0629083098324958,0.026904001619070344,0.03871863952037668
CT,0.10992048972130157,0.22421883982682345,0.2658328744661608,0.14953647884783747,0.9161290322580645,3.951175524639841,3.419161608487672,0.043847144067003616,0.06659087358623973
GC,0.026875865778106734,0.13759198555180738,0.3305253805455039,0.1472353184010495,1.0,4.139936699395217,3.899682404450731,0.05507078965383657,0.06258704001748021
GF,-0.127675648850978,0.20635456968775093,-0.050558023875082396,0.07901864763070433,0.36774193548387096,1.3552021266386474,1.7963801593058502,0.04943535943195182,0.04908025356595643
HE,0.04731153716719097,0.3950040297605983,0.043159600061532424,0.07900697794298021,0.6580645161290323,1.8884611294365061,1.9728951052363204,0.03983211318702226,0.050441739182791094
HG,0.07034123390017825,0.19992281392789965,-0.026553474487596488,0.15113242555025372,0.44516129032258067,2.7846155907537677,2.795308974971489,0.047421631947776904,0.05746377833786759
HO,0.11629086472318233,0.3500523489474897,0.05286874429251852,0.07473872083297536,0.7419354838709677,1.4022702982134576,0.9785409184131763,0.03408376049020526,0.04118705206031829
KC,-0.06940148204915939,0.31973411974196514,0.04884082715358829,0.13688248018358698,0.4967741935483871,2.6700970117839855,2.783808961418446,0.03678101606865295,0.0728814807846585
KE,-0.09326073418383037,0.3005359018645747,-0.01588132534457145,0.11489151346657549,0.38064516129032255,2.267366723499664,2.3998450929257906,0.038103411869717926,0.05400839448830064
LB,0.16764052302486193,0.3220207514758862,0.08823474926769395,0.2625494289212118,0.6193548387096774,5.5591627072174745,5.296093137139135,0.12754429252707533,0.09300504629141308
LE,-0.07959781579362143,0.22633218585283468,0.1173474057722454,0.12164907416867315,0.8258064516129032,1.5206636560711715,1.6589906209930487,0.02716763994337139,0.04266490513116324
NG,0.046109745887062945,0.40851961067782966,-0.09803127788986363,0.08784454937495041,0.17419354838709677,1.1150000059857441,1.03824635994664,0.03980062392494752,0.031956757579022874
OJ,0.05334217968905638,0.38881801699155405,0.13938636901671894,0.27360000359957126,0.7290322580645161,5.25545711247485,4.47842019147544,0.06344184545193647,0.11389223311385019
PA,0.13133267493726658,0.27238782984313353,0.4650996949153841,0.19515032695743534,1.0,4.310555678148923,4.026729801145736,0.061780353183305596,0.060258818831012445
PL,-0.07170583988411929,0.21466633599958423,0.45041676398540165,0.14090912952993603,1.0,3.928951176888268,3.756835427214525,0.05530855220646314,0.056448082076144004
RR,0.10847536702533878,0.2702122441408166,0.12335560453607483,0.2618954289987973,0.6381322957198443,3.765894605111942,2.8688911276752505,0.05691766254656926,0.08862123414945097
SB,0.045996266231765004,0.31818674992690515,0.155547050622165,0.16492898241213233,0.7741935483870968,2.3158816775975835,1.8598137563253687,0.03212005348416536,0.05438299646169715
SI,0.026243269861321996,0.23827940363367095,0.3382657553693203,0.1326493770442644,1.0,3.3029855762892764,3.362433137944428,0.04362438134903625,0.0635988742025427
ZC,-0.021129927525380503,0.22688567135926865,0.007086382400909378,0.06451073625867652,0.4967741935483871,2.14107525499357,2.3416254946946804,0.03490587141090569,0.05748618399614425
ZL,0.02608365246623369,0.20515531552051458,0.1721913911178196,0.10906199463874132,0.9483870967741935,3.2152330845372243,2.7389623868784914,0.04129726410607426,0.07232660919049548
ZM,-0.026031335677505676,0.24287003578078686,0.144089666744579,0.11326090212756304,0.8516129032258064,2.564712523615736,2.1399893902796565,0.03260081228359223,0.05734782849975078
ZO,-0.00807000063734418,0.3715214314024094,0.16728056143389297,0.20774662410580028,0.8129032258064516,2.982551609000257,2.779940277367582,0.07432491656415852,0.08870067393895481
ZS,-0.01134040169923821,0.1985774674413922,0.01663521308712057,0.11736906863578879,0.5483870967741935,2.5657378345757373,2.5557065914160195,0.04030335774643905,0.06691651597495284
ZW,-0.06489451104443084,0.3170605215770085,-0.12540234307686185,0.06625134457108917,0.05806451612903226,2.6596548286530224,2.687321170449894,0.05455553127996176,0.05209092031044112
AVERAGE,0.017390560370453743,0.2796985401693166,0.1249744649904564,0.13746161928743908,0.6892672273126648,2.8332903712049373,2.6722984893362165,0.04773288074674443,0.06234788013902265
