Period,HighHP_HighQ,HighHP_LowQ,LowHP_HighQ,LowHP_LowQ
-10to0,-0.01569524777232656,0.01590700143040014,-0.015006136991057706,0.01295783891264793
11to20,0.0008056865017061129,-0.00010002476581758252,0.0014455686180956863,-0.0005497183086097904
1to4,0.00010467149890033505,0.0015367144409781444,0.0011856228776976712,0.0005610667164256207
1to40,0.011072607025510918,0.0004906132006975979,0.010075811310740116,-0.003670069482201663
21to40,0.006675355896993423,0.002260057573792369,0.0056651945013212026,-4.01170041525613e-05
5to10,0.0014647579546519024,0.0006412853098615164,0.0022323790028549286,0.0011947763687615667
week1,0.00043951096059426364,-0.0008491980179833737,0.002007086513206731,-0.0022560488587530948
week1to8,0.010237045876847085,0.004676122972254201,0.011251560487621248,-0.00490452593353863
week2to4,0.005860393983149391,-0.0012214415951753307,0.005120684110738172,-0.00392560282319233
week5to8,0.002103195547882,0.006967353093130242,0.003807710770139355,-5.246423958650888e-05
